domain,data_item,writer_page,write_api,source_table,source_column,interpretation_rule,consumer_type,consumer,read_api,dto_field,transform_or_fallback,snapshot_or_cache,confidence
주차 상태,주차 개설 확정(조직),/admin/team-parts/info/weeks/[weekId],POST /api/admin/team-parts/info/weeks/[weekId]/open-confirm,cluster4_week_opening_configs,"week_id;organization_slug;confirmed_at",lib/adminTeamPartsInfoWeekDetailData.ts + rpc:apply_week_open_confirm. 목요일 00:01 재실행 게이트,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
주차 상태,개설 확정 버전,없음,POST /api/admin/team-parts/info/weeks/[weekId]/open-confirm,cluster4_week_opening_config_versions,UNKNOWN,읽기 전용(W:0 R:2) — occur 시각 버전 판정,admin-page,/admin/team-parts/info/weeks/[weekId],GET /api/admin/team-parts/info/weeks/[weekId],versions[],,,MEDIUM
주차 상태,주차 검수 완료(조직),/admin/team-parts/info/weeks/[weekId],POST /api/admin/team-parts/info/weeks/[weekId]/review,cluster4_week_opening_configs,UNKNOWN,검수완료=최종확정. 단일패스 재계산(lib/reviewFinalize 계열),external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
주차 상태,검수 준비도,없음,없음,"weeks;cluster4_experience_line_evaluations",UNKNOWN,lib/adminWeekReviewReadiness.ts — 적립 게이트=체크 대상자 존재 여부,admin-page,/admin/team-parts/info/weeks/[weekId],GET /api/admin/team-parts/info/weeks/[weekId]/review-readiness,readiness,,,HIGH
주차 상태,인정 미리보기,/admin/team-parts/info/weeks/[weekId],POST /api/admin/team-parts/info/weeks/[weekId]/recognition-preview,UNKNOWN,UNKNOWN,lib/weekRecognitionResolve.ts — cluster4_week_opening_configs 쓰기 부수효과 존재. actAsTestUserId/demoUserId 분기,admin-page,/admin/team-parts/info/weeks/[weekId],POST .../recognition-preview,preview,,,MEDIUM
주차 상태,조직별 검수 상태,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],POST /api/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],cluster4_week_org_result_states,"week_id;organization_slug;scope;status;published_at;review_started_at;reviewed_by",lib/weekOrgResultState.ts — status∈{aggregating;reviewing;published}. scope=operating|test 독립,admin-page,/admin/team-parts/info/crew-week-results,GET /api/admin/team-parts/info/crew-week-results,rows[].status,행 없으면 source='legacy' 폴백(시각 전부 null),,HIGH
주차 상태,공표 실행 기록,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],POST /api/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],cluster4_week_finalize_runs,UNKNOWN,lib/crewWeekPublish.ts — 공표 시 run 단위 기록,admin-page,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],GET .../crew-week-results/[organizationSlug]/[weekId],runs[],,,HIGH
주차 상태,공표 크루 결과,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],POST /api/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],cluster4_week_finalize_run_crew_results,UNKNOWN,lib/crewWeekPublish.ts — 공표 시점 user_weekly_points 스냅샷 성격,admin-page,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],GET .../[weekId],crewResults[],,공표 시점 고정,HIGH
주차 상태,공표 팀 결과,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],POST /api/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],cluster4_week_finalize_run_team_results,UNKNOWN,lib/crewWeekPublish.ts,admin-page,/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],GET .../[weekId],teamResults[],,공표 시점 고정,HIGH
주차 상태,주차 결과 투영(크루),없음,없음,"weeks;cluster4_week_opening_configs",UNKNOWN,lib/crewWeeklyResultProjection.ts — 완료=org published 만. 시간은 집계창만. actAsTestUserId 분기,admin-page,/admin/team-parts/info/crew-week-results,GET /api/admin/team-parts/info/crew-week-results,rows[],,,HIGH
주차 상태,UWS 확정,없음,POST /api/admin/team-parts/info/weeks/[weekId]/review,user_week_statuses,UNKNOWN,lib/adminWeekUwsFinalize.ts — delete+insert+update 3중. cluster4_week_finalize_runs 로그,external-api,크루앱,/api/cluster4/weekly-cards,cards[].status,,cluster4_weekly_card_snapshots,HIGH
주차 상태,주차 인정 상태,/admin/week-recognitions,PATCH /api/admin/week-recognitions/[user_week_status_id],user_week_statuses,status,lib/adminWeekRecognitionsData.ts,external-api,크루앱 이력서,/api/cluster1/resume,weeks[].status,,,HIGH
주차 상태,주차 카드 확정,/admin/weekly-card-finalization,POST /api/admin/weekly-card-finalization/finalize,"weeks;user_week_statuses",UNKNOWN,lib/adminWeeklyCardFinalizationData.ts — snapshot 대조 후 확정. mode=test 분기,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
주차 상태,성장 재판정,없음,POST /api/admin/processes/check,user_week_statuses,UNKNOWN,lib/crewWeekGrowthRejudge.ts — 적립 후 성장 상태 재판정(insert/update),external-api,크루앱,/api/cluster3/stats-cards,process,,,HIGH
주차 상태,주차 성장 동기,/admin/crews/[organization]/[legacy_user_id]/cluster4,POST /api/admin/crews/[legacy_user_id]/cluster4/weekly-growth/sync,user_week_statuses,UNKNOWN,lib/cluster4WeeklyGrowthData.ts update,external-api,크루앱,/api/cluster4/weekly-growth,weeks[],,,HIGH
성장·품계,성장 통계 캐시,/admin/operation-health-check,POST /api/admin/operation-health-check/recalculate-growth-stats,user_growth_stats,UNKNOWN,lib/userGrowthStatsData.ts upsert — **유일한 쓰기 경로**. 재계산은 수동 트리거,admin-page,/admin/members/[userId]/weekly-status,GET /api/admin/users/[user_id]/weekly-status,growthStats,stale 가능(자동 재계산 없음),user_growth_stats,HIGH
성장·품계,성장 통계 소비(이력서),없음,없음,user_growth_stats,UNKNOWN,lib/adminResumeCardData.ts — 이력서 카드가 캐시를 직접 읽음,admin-page,/admin/crews/[organization]/[legacy_user_id],GET /api/admin/crews/[legacy_user_id]/resume-card,resumeCard,,user_growth_stats,HIGH
성장·품계,성장 통계 소비(경험 총괄),없음,없음,user_growth_stats,UNKNOWN,lib/adminExperienceTeamOverall.ts — 총괄 계산 입력으로 캐시 사용,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/team-overall,cells[],,user_growth_stats,MEDIUM
성장·품계,품계 캐시,/admin/crews/[organization]/[legacy_user_id]/cluster3,POST /api/admin/crews/[legacy_user_id]/cluster3/growth/rank/sync,user_grade_stats,avg_percentile,lib/cluster3ClubRankData.ts syncGradeStats upsert — **어드민·크루앱 어디서도 읽지 않음**(W:1 R:0),other,없음,,,순수 write-only 캐시,user_grade_stats,HIGH
성장·품계,클럽 품계(백분위),없음,없음,user_weekly_points,"points;advantages;penalty",lib/cluster3ClubRankData.ts getClubRank — 전 모집단 주차별 RANK 실시간 계산. user_grade_stats 캐시 미참조,external-api,크루앱,/api/cluster3/club-rank,avgPercentile,,clubRankComputationCache(TTL 30s;프로세스 메모리),HIGH
성장·품계,품계 등급 3종,없음,없음,user_weekly_points,UNKNOWN,avgPercentile / rankGradeNumber / rankGradeLabel 을 **한 응답에서 함께** 파생(원천 혼합 금지 2026-07-26),external-api,크루앱,/api/cluster3/club-rank,"rankGrade;rankGradeNumber;rankGradeLabel",,clubRankComputationCache,HIGH
성장·품계,품계 동결,없음,없음,user_club_rank_frozen,UNKNOWN,읽기 전용(W:0 R:1) — 어드민에 쓰기 경로 없음. 동결 사용자는 계산 제외,external-api,크루앱,/api/cluster3/club-rank,isFrozen,,,MEDIUM
성장·품계,온보딩 1주차 제외,없음,없음,user_week_statuses,"iso_year;iso_week",getClubRank 이 user_week_statuses 최소 year/week 를 온보딩 기준으로 사용(단일 기준),external-api,크루앱,/api/cluster3/club-rank,avgPercentile,,,HIGH
성장·품계,누적 포인트 동기(RPC),없음,POST /api/admin/sync/grade-stats,rpc:sync_cumulative_points_for_user,UNKNOWN,lib/cluster3ClubRankData.ts — DB 함수 호출. 함수 본문은 레포 외부,batch,syncGradeStats,,,,,MEDIUM
성장·품계,성장 지표 3영역,없음,없음,"user_week_statuses;user_season_statuses;user_growth_status_audit",UNKNOWN,lib/cluster3GrowthData.ts getGrowthIndicators — 캐시 테이블 미참조 실시간 계산,external-api,크루앱,/api/cluster3/stats-cards,"process;period;points",,,HIGH
성장·품계,성장 상태(snapshot-first),없음,없음,cluster4_weekly_card_snapshots,cards,lib/cluster3GrowthData.ts — ResolvedWeek 소스를 snapshot 우선으로 읽고 없으면 실시간 계산,external-api,크루앱,/api/cluster3/growth-status-batch,items[].growthStatus,snapshot miss 시 실시간 폴백,cluster4_weekly_card_snapshots,HIGH
성장·품계,성장 중단 정책,없음,없음,user_profiles,UNKNOWN,lib/cluster4GrowthStopPolicy.ts — 중단 사용자 표시/판정 분기,external-api,크루앱,/api/cluster4/weekly-cards,cards[].growthStopped,,,MEDIUM
성장·품계,성장 상태 감사,/admin/members/[userId],PATCH /api/admin/members/[user_id],user_growth_status_audit,UNKNOWN,lib/adminMembersData.ts insert — 상태 변경 이력,external-api,크루앱,/api/cluster3/stats-cards,,,,HIGH
성장·품계,주차 등급 이력,UNKNOWN,UNKNOWN,user_week_grade_histories,UNKNOWN,lib/userWeekGradeHistory.ts — 쓰기·읽기 각 1곳. 트리거 페이지 미확인,other,UNKNOWN,UNKNOWN,UNKNOWN,,,LOW
스냅샷·캐시,주차 카드 snapshot,없음(부수효과),POST /api/admin/cluster4/recompute-user-snapshots,cluster4_weekly_card_snapshots,"user_id;cards;dto_version;is_stale;computed_at",lib/cluster4WeeklyCardsSnapshot.ts — DTO_VERSION=48. 사용자 1행 = 전 주차 카드 배열,external-api,크루앱,/api/cluster4/weekly-cards,cards[],"hit/stale/miss/error 4분기. version_mismatch·is_stale 도 카드 노출(빈 화면 방지)",cluster4_weekly_card_snapshots,HIGH
스냅샷·캐시,snapshot 무효화,없음(부수효과),POST /api/admin/processes/check,cluster4_weekly_card_snapshots,is_stale,invalidateWeeklyCardsForUsers — 적립·라인·주차 상태 쓰기 성공 후 호출. .in() URL 길이 절벽 주의,external-api,크루앱,/api/cluster4/weekly-cards,cards[],SNAPSHOT_RECOMPUTE_THRESHOLD=10 초과 시 지연 재계산,cluster4_weekly_card_snapshots,HIGH
스냅샷·캐시,snapshot 배치 재계산,/admin/test-users,POST /api/admin/qa/run-now/snapshot-batch,cluster4_weekly_card_snapshots,"cards;computed_at",recomputeStaleOrDueSnapshots — vercel cron 없음(Hobby) → 수동/서버 트리거 의존,batch,recomputeStaleOrDueSnapshots,GET /api/admin/cluster4/recompute-snapshots,,,cluster4_weekly_card_snapshots,HIGH
스냅샷·캐시,snapshot 투영(무저장),없음,POST /api/cluster4/weekly-cards-projection,cluster4_weekly_card_snapshots,cards,app/api/cluster4/weekly-cards-projection — 저장 없이 투영만 반환,external-api,크루앱,/api/cluster4/weekly-cards-projection,cards[],,,HIGH
스냅샷·캐시,로스터 카드 통계 캐시,없음(부수효과),POST /api/admin/qa/run-now/user-snapshot,cluster4_roster_card_stats,UNKNOWN,lib/cluster4WeeklyCardsSnapshot.ts writeRosterCardStats — snapshot 재계산의 부산물,admin-page,/admin/members,GET /api/admin/members/roster,rows[].stats,캐시 miss 시 snapshot cards 파싱 폴백,cluster4_roster_card_stats,HIGH
스냅샷·캐시,로스터 슬림 조회,없음,없음,"cluster4_roster_card_stats;cluster4_weekly_card_snapshots",UNKNOWN,lib/adminMembersData.ts — 로스터는 fat cards 대신 slim 캐시 우선. DB 포화 가드,admin-page,/admin/crews/[organization],GET /api/admin/members/roster,rows[],,cluster4_roster_card_stats,HIGH
스냅샷·캐시,정보 통계 카드,없음,없음,cluster4_weekly_card_snapshots,cards,lib/adminMembersInfoStats.ts — stale/version_mismatch 여도 cards 배열이면 사용. rpc:members_info_stats_card_rows 병행,admin-page,/admin/members,GET /api/admin/members/info-stats,rows[],demoUserId·mode=test 분기 존재,cluster4_weekly_card_snapshots,HIGH
스냅샷·캐시,품계 계산 캐시(메모리),없음,없음,없음(프로세스 메모리),없음,lib/clubRankComputationCache.ts — TTL 30s;전역 1개;single-flight;stale-while-error 없음. Vercel 다중 인스턴스라 best-effort,external-api,크루앱,/api/cluster3/club-rank,avgPercentile,쓰기 성공 후 invalidate. 공표 경로는 forceRefresh,clubRankComputationCache,HIGH
스냅샷·캐시,정합성 카드 대조,없음,없음,cluster4_weekly_card_snapshots,cards,lib/adminWeeklyCardFinalizationData.ts — 확정 전 snapshot 과 live 대조,admin-page,/admin/weekly-card-finalization,GET /api/admin/weekly-card-finalization/preview,diff[],,cluster4_weekly_card_snapshots,HIGH
팀·파트,반기별 팀,/admin/team-parts/info/[clubId],POST /api/admin/team-parts/info,cluster4_team_halves,"season_key;half;team_name;leader_user_id",lib/adminTeamHalvesData.ts — 팀장 이름 SoT 별도,admin-page,/admin/team-parts/info,GET /api/admin/team-parts/info,teams[],,,HIGH
팀·파트,파트 배정,/admin/team-parts/info/[clubId]/[teamHalfId],POST /api/admin/team-parts/info/team-detail/parts,cluster4_team_parts,"team_half_id;part_type;user_id",lib/adminTeamHalvesData.ts — 운용 파트 6개 제한. 팀장은 파트 없음,admin-page,/admin/team-parts/info/[clubId]/[teamHalfId],GET /api/admin/team-parts/info/team-detail,parts[],,,HIGH
팀·파트,직책 이력(UPH),없음,없음,user_position_histories,UNKNOWN,읽기 전용(W:0 R:3) — 어드민에 쓰기 경로 없음. lib/positionResolver.ts 가 단일 resolver,admin-page,/admin/team-parts/info/[clubId]/[teamHalfId],GET /api/admin/team-parts/info/team-detail/week-summary,rows[].position,,,HIGH
팀·파트,주차 직책 override,/admin/team-parts/info/[clubId]/[teamHalfId],PATCH /api/admin/team-parts/info/team-detail/week-position,cluster4_team_week_position_overrides,UNKNOWN,effective = override ?? UPH (lib/teamWeekPositionOverride.ts). 적용 순서 함정 존재,external-api,크루앱 주차카드,/api/cluster4/weekly-cards,"cards[].roleLabel;cards[].teamName;cards[].partName",override 없으면 UPH,cluster4_weekly_card_snapshots(v48 bump 사유),HIGH
팀·파트,클래스 라벨,없음,없음,cluster4_team_week_position_overrides,UNKNOWN,resolveCrewClassLabel — position_code 기반. roleLabel(등급)과 원천 분리,external-api,크루앱,/api/cluster4/weekly-cards,cards[].crewClassPositionCode,,cluster4_weekly_card_snapshots,HIGH
팀·파트,파트×주차 존재표,없음,없음,"user_position_histories;cluster4_team_parts",UNKNOWN,lib/adminTeamSelectedWeekSummary.ts — present 전주차 공통규칙(미래 투영 포함). 요약은 todayIso 이하,admin-page,/admin/team-parts/info/[clubId]/[teamHalfId],GET /api/admin/team-parts/info/team-detail/week-summary,matrix,,,HIGH
팀·파트,클럽 요약,없음,없음,"user_profiles;user_memberships",UNKNOWN,lib/adminClubSummaryData.ts — 요약은 현재시점 기준(과거 재현 아님),admin-page,/admin/team-parts/info,GET /api/admin/team-parts/info/summary,summary,,,HIGH
팀·파트,크루 조회(팀 배정용),없음,없음,"cluster4_team_halves;user_memberships",UNKNOWN,lib/adminTeamHalvesData.ts — 중복 제외(이미 배정된 크루),admin-page,/admin/team-parts/info/[clubId],GET /api/admin/team-parts/crew-lookup,crews[],,,HIGH
팀·파트,팀 목록(경험용),없음,없음,cluster4_teams,UNKNOWN,읽기 전용(W:0 R:6) — 어드민에 쓰기 경로 없음,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/teams,teams[],,,HIGH
휴식,휴식 신청 승인,/admin/rest-management,PATCH /api/admin/rest-management/[id],vacation_requests,"status;request_type",lib/adminRestManagementData.ts — approved 만 휴식. pending/rejected/cancelled 는 휴식 아님,external-api,크루앱,/api/cluster4/weekly-cards,cards[].isRestWeek,,cluster4_weekly_card_snapshots,HIGH
휴식,승인 휴식 주차 loader,없음,없음,vacation_requests,"status='approved';week_start_date;week_id",lib/approvedRestWeeks.ts — 공통 SoT loader. 페이지별 재계산 금지,external-api,크루앱,/api/cluster1/resume,restWeekIds,,,HIGH
휴식,휴식 승인 부수효과,/admin/rest-management,POST /api/admin/rest-management/approve-all,"process_check_review_recipients;process_irregular_acts","(delete)",lib/adminRestManagementData.ts — 휴식 승인이 체크 대상자·변동 액트를 삭제,external-api,크루앱 품계,/api/cluster3/club-rank,avgPercentile,,clubRankComputationCache,HIGH
휴식,긴급 휴식,/admin/rest-management,POST /api/admin/rest-management/emergency,vacation_requests,"status;request_type='emergency'",lib/adminEmergencyRest.ts — process_irregular_acts insert/delete 동반. actAsTestUserId 분기,external-api,크루앱,/api/cluster4/weekly-cards,,,cluster4_weekly_card_snapshots,HIGH
휴식,레거시 휴식 상태,없음,없음,user_week_statuses,status='personal_rest',getUwsStatus 에서 vacation_requests 와 union — approvedRestWeeks 는 vacation_requests 만 읽음(이중 SoT 방지),external-api,크루앱,/api/cluster4/weekly-cards,cards[].status,,cluster4_weekly_card_snapshots,HIGH
휴식,개인 휴식 기간,없음,없음,crew_personal_rest_periods,UNKNOWN,읽기 전용(W:0 R:4) — 어드민에 쓰기 경로 없음. 원천 불명,external-api,크루앱,/api/cluster4/weekly-cards,,,,LOW
휴식,시즌 휴식,/admin/season-participations,PATCH /api/admin/season-participations/[user_season_status_id],user_season_statuses,status,lib/adminSeasonParticipationsData.ts + lib/seasonRestValidation.ts(user_week_statuses update 부수효과),external-api,크루앱 이력서,/api/cluster1/resume,seasons[].status,,,HIGH
휴식,현재 시즌 휴식,없음,없음,"weeks;user_season_statuses",UNKNOWN,lib/currentSeasonRest.ts — 카페 라인 크루 매칭 입력,admin-page,/admin/line-opening/practical-info,GET /api/admin/cluster4/cafe-line-crew,crews[],,,MEDIUM
이력서·프로필,이력서 카드 설정(사용자),/admin/crews/[organization]/[legacy_user_id],PATCH /api/admin/crews/[legacy_user_id]/resume-card,user_resume_card_settings,UNKNOWN,lib/adminResumeCardData.ts upsert — 3계층(user > organization > site),external-api,크루앱,/api/cluster1/resume,resumeCard,,,HIGH
이력서·프로필,이력서 카드 설정(조직),UNKNOWN,PATCH /api/admin/settings/organizations/[organization]/resume-card,organization_resume_card_settings,UNKNOWN,lib/adminResumeCardData.ts — 사용자 설정 없을 때 폴백,admin-page,/admin/crews/[organization]/[legacy_user_id],GET /api/admin/settings/organizations/[organization]/resume-card,settings,,,HIGH
이력서·프로필,이력서 카드 설정(사이트),UNKNOWN,PATCH /api/admin/settings/site/resume-card,site_resume_card_settings,UNKNOWN,lib/adminResumeCardData.ts — 최종 폴백,admin-page,/admin/crews/[organization]/[legacy_user_id],GET /api/admin/settings/site/resume-card,settings,,,HIGH
이력서·프로필,이력서 지표 3종,없음,없음,"user_week_statuses;user_memberships;user_season_statuses",UNKNOWN,lib/cluster1ResumeData.ts getCluster1Resume — 활동완료율·실무성적·일정신뢰도 단일 SoT. 프론트 자체 계산 금지,external-api,크루앱 사이드바,/api/cluster1/resume,"completionRate;practicalScore;scheduleReliability",8s 타임아웃 graft 정책,,HIGH
이력서·프로필,이력서 지표(어드민 동일),없음,없음,"user_week_statuses;user_memberships",UNKNOWN,동일 getCluster1Resume 재사용 → direct == admin HTTP == internal HTTP 정합 보장,admin-page,/admin/crews/[organization]/[legacy_user_id],GET /api/admin/crews/[legacy_user_id]/resume-card/resume,resume,,,HIGH
이력서·프로필,멤버십 등급,/admin/crews/[organization]/[legacy_user_id],PATCH /api/admin/crews/[legacy_user_id]/resume-card,user_memberships,"level;state",lib/adminResumeCardData.ts — **user_memberships 유일 쓰기 경로**(W:1 R:22). 상태=level,external-api,크루앱,/api/cluster4/weekly-cards,cards[].membershipLevel,,cluster4_weekly_card_snapshots,HIGH
이력서·프로필,자기소개,/admin/crews/[organization]/[legacy_user_id]/cluster2,PATCH /api/admin/crews/[legacy_user_id]/cluster2,user_introductions,UNKNOWN,lib/adminCluster2Data.ts upsert. adminResumeCardData 도 동일 테이블 쓰기(2 writer),external-api,크루앱,UNKNOWN,UNKNOWN,,,HIGH
이력서·프로필,cluster2 프로필,/admin/crews/[organization]/[legacy_user_id]/cluster2,PATCH /api/admin/crews/[legacy_user_id]/cluster2,user_cluster2,UNKNOWN,lib/adminCluster2Data.ts upsert,external-api,크루앱,UNKNOWN,UNKNOWN,,,MEDIUM
이력서·프로필,학력,/admin/crews/[organization]/[legacy_user_id]/cluster2,PATCH /api/admin/crews/[legacy_user_id]/cluster2,user_educations,UNKNOWN,lib/adminCluster2Data.ts — delete+insert 전량 재작성,external-api,크루앱,/api/schools/search,schools[],,,MEDIUM
이력서·프로필,리뷰 링크,없음(크루 입력),PUT /api/review-link,user_review_links,UNKNOWN,app/api/review-link/route.ts upsert — 순차 링크 정책. user_edit_windows 로 게이트,admin-page,/admin/crews/[organization]/[legacy_user_id]/cluster2,GET /api/admin/crews/[legacy_user_id]/cluster2,reviewLinks,,,HIGH
이력서·프로필,포트폴리오 채널,/admin/crews/[organization]/[legacy_user_id]/cluster3,PATCH /api/admin/crews/[legacy_user_id]/cluster3,portfolio_channel_cards,UNKNOWN,lib/adminCluster3Data.ts — delete+upsert. cluster3 버킷 규칙,external-api,크루앱,UNKNOWN,UNKNOWN,,,MEDIUM
이력서·프로필,포트폴리오 상단,/admin/crews/[organization]/[legacy_user_id]/cluster3,PATCH /api/admin/crews/[legacy_user_id]/cluster3,portfolio_top_cards,UNKNOWN,lib/adminCluster3Data.ts,external-api,크루앱,UNKNOWN,UNKNOWN,,,MEDIUM
이력서·프로필,크루 관리 노트,/admin/members/[userId],PUT /api/admin/members/[user_id]/note,crew_management_notes,UNKNOWN,lib/adminCrewManagementNotes.ts upsert — 어드민 전용(외부 미노출),admin-page,/admin/members/[userId],GET /api/admin/members/[user_id],note,,,HIGH
이력서·프로필,영문명,UNKNOWN,PATCH /api/admin/members/[user_id],user_profiles,english_name,lib/adminMembersData.ts update,admin-page,/admin/members,GET /api/admin/members/roster,rows[].englishName,,,MEDIUM
이력서·프로필,크루 코드,UNKNOWN,UNKNOWN,crew_code_log,UNKNOWN,lib/adminCrewCodeData.ts — 쓰기 전용(W:1 R:0). 수동 검색은 크루 코드 기준,admin-page,/admin/members,GET /api/admin/members/roster,rows[].crewCode,,,MEDIUM
평판,주차 평판,/admin/crews/[organization]/[legacy_user_id]/cluster4,PATCH /api/admin/crews/[legacy_user_id]/cluster4,weekly_reputations,UNKNOWN,lib/adminCluster4Data.ts update,external-api,크루앱,/api/weekly-reputations,items[],,,HIGH
평판,시즌 평판,/admin/crews/[organization]/[legacy_user_id]/cluster4,PATCH /api/admin/crews/[legacy_user_id]/cluster4,season_reputations,UNKNOWN,lib/adminCluster4Data.ts update,external-api,크루앱,UNKNOWN,UNKNOWN,,,MEDIUM
평판,주차 리뷰,/admin/crews/[organization]/[legacy_user_id]/cluster4,PATCH /api/admin/crews/[legacy_user_id]/cluster4,weekly_reviews,UNKNOWN,lib/adminCluster4Data.ts update,external-api,크루앱,UNKNOWN,UNKNOWN,,,MEDIUM
평판,동료,/admin/crews/[organization]/[legacy_user_id]/cluster4,PATCH /api/admin/crews/[legacy_user_id]/cluster4,weekly_colleagues,UNKNOWN,lib/adminCluster4Data.ts update. 동료 프로필 빈칸 이슈 별도,external-api,크루앱,/api/cluster4/weekly-cards,cards[].colleagues,,cluster4_weekly_card_snapshots,HIGH
평판,평판 키워드,없음,없음,reputation_keywords,UNKNOWN,읽기 전용(W:0 R:1) — lib/reputationKeywordsData.ts,external-api,크루앱,/api/reputation-keywords,keywords[],,,HIGH
평판,시즌 이력,/admin/crews/[organization]/[legacy_user_id]/cluster4,PATCH /api/admin/crews/[legacy_user_id]/cluster4,user_season_histories,UNKNOWN,lib/adminCluster4Data.ts update. findOrCreate 규칙,admin-page,/admin/members/[userId],GET /api/admin/members/[user_id],seasons[],,,HIGH
커리어,커리어 프로젝트,/admin/career-projects,POST /api/admin/career-projects,career_projects,"project_name;organization_slug;sponsor_meta",lib/adminCareerProjectsData.ts,admin-page,/admin/line-opening/practical-career,GET /api/admin/cluster4/career-line-options,options[],,,HIGH
커리어,프로젝트 주차,/admin/career-projects,PATCH /api/admin/career-projects/[id]/weeks,career_project_weeks,UNKNOWN,lib/adminCareerProjectsData.ts — upsert/delete/update 3중,admin-page,/admin/career-projects,GET /api/admin/career-projects/[id]/weeks,weeks[],,,HIGH
커리어,커리어 평가,/admin/line-opening/practical-career,POST /api/admin/cluster4/career-evaluations,cluster4_career_line_evaluations,UNKNOWN,lib/adminCareerEvaluationsData.ts,external-api,크루앱 라인 상세,/api/cluster4/lines/detail,evaluation,,,HIGH
커리어,커리어 기록,UNKNOWN,UNKNOWN,career_records,UNKNOWN,lib/adminCareerProjectsData.ts — 쓰기 트리거 페이지 미확인,admin-page,/admin/career-projects,GET /api/admin/career-projects,records[],,,LOW
카페 크롤,카페 라인 크루 매칭,/admin/line-opening/practical-info,POST /api/admin/cluster4/cafe-line-crew,UNKNOWN,UNKNOWN,lib/cluster4CafeLineMatch.ts — 카페 댓글 ↔ 소속 교집합. T-접두 테스트 매칭 규칙,admin-page,/admin/processes/check/info,GET /api/admin/cluster4/cafe-line-crew,crews[],mode=test 분기,,MEDIUM
카페 크롤,카페 댓글,/admin/line-opening/practical-competency,POST /api/admin/cluster4/cafe-comments,UNKNOWN,UNKNOWN,app/api/admin/cluster4/cafe-comments/route.ts — 저장 테이블 미확인(외부 크롤러 서비스 연동),other,UNKNOWN,UNKNOWN,UNKNOWN,,,LOW
운영 점검,운영 정합 점검,없음,없음,"user_growth_stats;user_week_statuses;user_season_statuses;weeks",UNKNOWN,lib/adminOperationHealthCheckData.ts — 캐시 vs 실시간 대조 진단,admin-page,/admin/operation-health-check,GET /api/admin/operation-health-check,checks[],,user_growth_stats,HIGH
운영 점검,도움말 콘텐츠,전 페이지,PUT /api/admin/help,admin_page_help_contents,"page_key;content",lib/adminPageHelpData.ts upsert — 공통 Help Key. mode/org 무관,admin-page,전 페이지,GET /api/admin/help,content,,,HIGH
QA·테스트,테스트 사용자 마커,UNKNOWN,UNKNOWN,test_user_markers,UNKNOWN,읽기 전용(W:0 R:2) — lib/testUsers.ts. 어드민에 쓰기 경로 없음,admin-page,/admin/test-users,GET /api/admin/test-users,users[],,,HIGH
QA·테스트,QA 실행 로그,/admin/test-users,POST /api/admin/qa/run-now/user-snapshot,qa_run_now_log,UNKNOWN,lib/qaRunNow.ts insert,admin-page,/admin/test-users,GET /api/admin/qa/run-now/logs,logs[],,,HIGH
QA·테스트,QA 주차 상태,UNKNOWN,UNKNOWN,qa_weeks_state,UNKNOWN,QA 클록 오버레이용. 쓰기 트리거 페이지 미확인,other,UNKNOWN,UNKNOWN,UNKNOWN,,,LOW
QA·테스트,QA 액션 로그,UNKNOWN,UNKNOWN,qa_action_log,UNKNOWN,쓰기 전용(W:1 R:0),other,없음,,,,,MEDIUM
QA·테스트,QA 모집단 스위치,없음,없음,없음(환경변수),없음,QA_HIDE_REAL_USERS(lib/qaFixedScope.ts) — 참이면 운영 화면이 테스터 모집단. resolveOrgResultScope 를 'test' 로 강제,admin-page,/admin/team-parts/info/crew-week-results,GET /api/admin/team-parts/info/crew-week-results,rows[].status,,,HIGH
QA·테스트,mode=test 스코프,없음,없음,없음(쿼리 파라미터),없음,lib/userScope.ts resolveUserScope + parseScopeMode — 46개 API 라우트가 mode 분기. 대상 선택만 바뀌고 판정은 동일,admin-page,다수,다수,,,,HIGH
QA·테스트,actAsTestUserId,없음,없음,없음(쿼리 파라미터),없음,lib/experienceImpersonation.ts — 6개 라우트. 액터 컨텍스트(로그 actor)와 개설 게이트에 영향,admin-page,/admin/line-opening/practical-experience,GET /api/admin/cluster4/experience/part-input,,,,HIGH
